Pressure,Temperature,Phase,Author,Method
289.7,12000,Liquid,Cebulla (2017),theory
360,12000,Liquid,Cebulla (2017),theory
365.7,12000,Liquid,Cebulla (2017),theory
495.8,12000,B2,Cebulla (2017),theory
547.9,12000,B2,Cebulla (2017),theory
597.5,12000,B2,Cebulla (2017),theory
657.6,12000,B2,Cebulla (2017),theory
714.2,12000,B2,Cebulla (2017),theory
869.7,12000,B2,Cebulla (2017),theory
376.7,13000,Liquid,Cebulla (2017),theory
416.6,13000,Liquid,Cebulla (2017),theory
464.9,13000,Liquid,Cebulla (2017),theory
560.1,13000,B2,Cebulla (2017),theory
